"","Tm","Year","Rank_rb","good_rb_def","Rank_wr","good_wr_def","Rank_te","good_te_def","Rank_qb","good_qb_def","tot_rank","good_def"
"101","New York Giants",2013,18,"Yes",26,"Yes",15,"No",21,"Yes",80,"Yes"
"102","Kansas City Chiefs",2016,18,"Yes",14,"No",27,"Yes",21,"Yes",80,"Yes"
"103","Kansas City Chiefs",2011,11,"No",28,"Yes",20,"Yes",21,"Yes",80,"Yes"
"104","Carolina Panthers",2017,30,"Yes",4,"No",26,"Yes",19,"Yes",79,"Yes"
"105","Detroit Lions",2013,28,"Yes",3,"No",29,"Yes",19,"Yes",79,"Yes"
"106","Dallas Cowboys",2009,27,"Yes",19,"Yes",15,"No",18,"Yes",79,"Yes"
"107","Minnesota Vikings",2010,24,"Yes",14,"No",23,"Yes",18,"Yes",79,"Yes"
"108","New England Patriots",2014,17,"No",31,"Yes",10,"No",21,"Yes",79,"Yes"
"109","Houston Texans",2013,15,"No",30,"Yes",16,"No",18,"Yes",79,"Yes"
"110","Kansas City Chiefs",2013,13,"No",19,"Yes",31,"Yes",16,"No",79,"Yes"
"111","Cincinnati Bengals",2014,6,"No",27,"Yes",17,"No",29,"Yes",79,"Yes"
"112","Indianapolis Colts",2013,22,"Yes",14,"No",25,"Yes",17,"No",78,"Yes"
"113","St. Louis Rams",2013,6,"No",18,"Yes",32,"Yes",22,"Yes",78,"Yes"
"114","Indianapolis Colts",2018,20,"Yes",32,"Yes",3,"No",22,"Yes",77,"Yes"
"115","Pittsburgh Steelers",2016,8,"No",29,"Yes",12,"No",28,"Yes",77,"Yes"
"116","Houston Texans",2018,28,"Yes",24,"Yes",5,"No",19,"Yes",76,"Yes"
"117","San Diego Chargers",2012,22,"Yes",13,"No",27,"Yes",14,"No",76,"Yes"
"118","Houston Texans",2009,19,"Yes",22,"Yes",13,"No",22,"Yes",76,"Yes"
"119","San Diego Chargers",2009,14,"No",24,"Yes",17,"No",21,"Yes",76,"Yes"
"120","Seattle Seahawks",2018,13,"No",19,"Yes",23,"Yes",21,"Yes",76,"Yes"
"121","New England Patriots",2018,22,"Yes",23,"Yes",16,"No",14,"No",75,"Yes"
"122","Atlanta Falcons",2012,11,"No",27,"Yes",14,"No",23,"Yes",75,"Yes"
"123","New York Jets",2013,31,"Yes",4,"No",24,"Yes",15,"No",74,"Yes"
"124","Arizona Cardinals",2017,29,"Yes",17,"No",17,"No",11,"No",74,"Yes"
"125","Detroit Lions",2018,21,"Yes",17,"No",18,"Yes",18,"Yes",74,"Yes"
"126","Kansas City Chiefs",2010,17,"No",15,"No",21,"Yes",21,"Yes",74,"Yes"
"127","New Orleans Saints",2009,11,"No",8,"No",27,"Yes",28,"Yes",74,"Yes"
"128","Tennessee Titans",2011,6,"No",29,"Yes",17,"No",22,"Yes",74,"Yes"
"129","Tennessee Titans",2013,3,"No",31,"Yes",10,"No",30,"Yes",74,"No"
