"","Player","GamesPlayed","Goals","Assists","Points","PointShare","Shots","ShootPerc","FirstYear","LastYear"
"1281","Jake Muzzin",551,62,176,237,48,1163,6.05,2011,2019
"1282","Jake Virtanen",282,55,57,112,10.9,563,9.125,2016,2019
"1283","Jakob Chychrun",171,16,38,54,9.7,305,5.43333333333333,2017,2019
"1284","Jakob Forsbacka Karlsson",56,4,11,15,1.1,37,10.1,2017,2019
"1285","Jakob Silfverberg",492,117,135,252,28.5,1234,9.42857142857143,2013,2019
"1286","Jakub Cutta",161,11,23,35,6.7,163,6.2,2001,2004
"1287","Jakub Jerabek",117,13,32,45,10.1,211,6.25,2018,2019
"1288","Jakub Kindl",402,20,66,86,18.7,557,3.6,2010,2017
"1289","Jakub Klepis",66,4,10,14,0.2,64,5.85,2006,2007
"1290","Jakub Nakladal",107,4,17,21,3.1,124,3.35,2016,2017
"1291","Jakub Petruzalek",63,5,12,17,0.9,62,7.8,2009,2009
"1292","Jakub Voracek",846,195,444,639,64,2117,9.52727272727273,2009,2019
"1293","Jakub Vrana",176,40,40,80,8.8,326,11.3666666666667,2017,2019
"1294","Jakub Zboril",54,5,17,22,3.6,85,6.4,2019,2019
"1295","Jamal Mayers",1069,139,182,320,22.8,1729,7.81333333333333,1999,2013
"1296","Jame Pollock",25,3,4,7,1.4,30,9.9,2004,2004
"1297","James Black",166,25,28,53,4.9,240,8.7,1999,2001
"1298","James Neal",766,270,244,514,63.8,2321,11.6,2009,2019
"1299","James Patrick",345,23,51,74,20.9,271,8.41666666666667,1999,2004
"1300","James Sheppard",394,23,68,91,3.1,412,5.33333333333333,2008,2015
"1301","James van Riemsdyk",675,228,213,441,51.8,1916,11.83,2010,2019
"1302","James Wisniewski",673,56,243,299,50.8,1127,5.01818181818182,2006,2016
"1303","James Wright",206,19,23,42,1.3,218,6.6,2010,2014
"1304","Jamie Allison",371,13,33,46,8.3,238,3.3375,1999,2006
"1305","Jamie Arniel",82,15,31,46,5.7,171,8.4,2011,2011
"1306","Jamie Baker",79,13,23,36,3.4,98,14,1999,1999
"1307","Jamie Benn",745,281,368,649,80.2,2082,13.29,2010,2019
"1308","Jamie Devane",82,30,21,51,7.2,248,12.6,2014,2014
"1309","Jamie Doornbosch",79,6,16,22,4.5,103,5.9,2011,2011
"1310","Jamie Fraser",72,3,19,22,3.7,129,2.6,2009,2009
"1311","Jamie Fritsch",57,5,8,13,2,59,8.1,2009,2009
"1312","Jamie Heward",420,39,93,132,19.6,655,5.62857142857143,1999,2009
"1313","Jamie Hunt",74,12,37,49,8.4,264,5.6,2007,2007
"1314","Jamie Huscroft",63,0,4,4,0.8,39,0,1999,2000
"1315","Jamie Langenbrunner",1028,222,374,595,59.9,2434,9.12666666666667,1999,2013
"1316","Jamie Lundmark",328,47,64,112,8.4,452,11.1571428571429,2003,2010
"1317","Jamie Macoun",69,1,10,11,2.3,62,1.6,1999,1999
"1318","Jamie McBain",468,37,87,124,23.9,533,7.125,2010,2017
"1319","Jamie McGinn",743,171,189,361,38.1,1490,11.0909090909091,2009,2019
"1320","Jamie Oleksiak",329,18,51,70,13.5,370,4.95714285714286,2013,2019
"1321","Jamie Pushor",466,12,53,66,15.5,412,2.68571428571429,1999,2006
"1322","Jamie Rivers",488,19,64,83,17.5,498,4.31111111111111,1999,2007
"1323","Jamie Tardif",46,2,5,7,0.3,56,3.6,2013,2013
"1324","Jamie Wright",254,69,72,143,17.4,620,9.88,1999,2003
"1325","Jan Bulis",570,102,152,254,23.2,960,10.5333333333333,1999,2007
"1326","Jan Caloun",58,3,4,7,-0.2,55,3.9,2001,2001
"1327","Jan Hejda",627,25,110,135,30,599,4.02222222222222,2007,2015
"1328","Jan Hlavac",436,90,134,224,21.3,861,10.1166666666667,2000,2008
"1329","Jan Hrdina",595,116,240,356,31.6,799,15.2125,1999,2006
"1330","Jan Mertzig",23,0,2,2,0.2,10,0,1999,1999
"1331","Jan Mursak",156,51,42,93,11.9,370,11.5,2011,2013
"1332","Jan Nemecek",85,4,15,20,3.3,96,5.55,1999,2000
"1333","Jan Rutta",94,8,20,28,5.2,113,6.65,2018,2019
"1334","Jan Vopat",96,6,6,12,2.6,66,7.8,1999,2000
"1335","Jani Rita",260,43,60,102,8.8,405,10.85,2002,2006
"1336","Janis Sprukts",141,17,29,45,5,188,8.05,2007,2009
"1337","Janne Kuokkanen",123,16,17,33,1.5,176,8.55,2018,2019
"1338","Janne Laukkanen",271,14,57,71,14.4,260,5.34,1999,2003
"1339","Janne Niinimaa",648,51,208,260,50.3,873,5.43333333333333,1999,2007
"1340","Janne Niskala",79,19,34,54,6.5,158,11.6,2009,2009
"1341","Janne Pesonen",27,3,3,6,0.3,32,10.1,2009,2009
"1342","Jannik Hansen",673,124,159,283,30.6,1086,10.9909090909091,2008,2018
"1343","Jared Aulin",80,28,51,81,10.1,181,15.5,2003,2003
"1344","Jared Boll",644,34,50,84,1.9,489,6.8,2008,2018
"1345","Jared Cowen",360,27,73,101,17.2,372,6.48333333333333,2010,2016
"1346","Jared McCann",244,38,50,88,7.9,443,7.45,2016,2019
"1347","Jared Ross",164,63,107,170,19.9,552,11.65,2009,2010
"1348","Jared Spurgeon",591,70,178,248,53.4,944,7.45555555555556,2011,2019
"1349","Jared Staal",26,0,2,2,-0.6,19,0,2013,2013
"1350","Jaret Anderson-Dolan",68,9,21,31,3.3,104,9.4,2019,2019
"1351","Jarkko Immonen",160,35,25,59,5.5,285,13,2006,2007
"1352","Jarkko Ruutu",807,133,192,329,30.4,1230,9.8,2000,2011
"1353","Jarno Kultanen",172,2,19,22,4.4,162,0.866666666666667,2001,2003
"1354","Jarod Palmer",77,14,38,52,5.5,125,11.3,2012,2012
"1355","Jarome Iginla",1483,619,648,1267,157.1,4594,13.6684210526316,1999,2017
"1356","Jaromir Jagr",1228,493,744,1237,147.6,3841,12.4647058823529,1999,2018
"1357","Jaroslav Balastik",141,37,41,78,7.4,333,11.8,2006,2007
"1358","Jaroslav Bednar",171,50,79,127,14.2,383,13.4,2002,2004
"1359","Jaroslav Hlinka",63,8,20,28,2.5,90,8.9,2008,2008
"1360","Jaroslav Kristek",69,10,18,28,2.7,131,7.7,2003,2003
"1361","Jaroslav Modry",706,55,196,250,47.5,1099,5.73,1999,2008
"1362","Jaroslav Obsut",111,3,17,20,3.8,108,1.45,2001,2002
"1363","Jaroslav Spacek",947,93,292,384,74.8,1483,6.31428571428571,1999,2012
"1364","Jaroslav Svejkovsky",77,12,15,27,1.9,110,11,1999,2000
"1365","Jaroslav Svoboda",172,12,23,34,1.4,166,6.86,2002,2006
"1366","Jarred Tinordi",208,17,61,80,14.2,313,4.15,2013,2016
"1367","Jarret Stoll",1008,179,291,468,42.6,1914,9.07857142857143,2003,2016
"1368","Jarrod Skalde",181,63,83,146,17.6,506,11.0333333333333,1999,2002
"1369","Jason Akeson",143,38,60,100,11.4,332,8.26666666666667,2013,2015
